id,name,code
op_area_course_0001,Empresarial,EMP
op_area_course_0002,Inmobiliaria,IMB
op_area_course_0003,Oposiciones,OPO
op_area_course_0004,Pediatría,PED
op_area_course_0005,Sanitaria,SNT
op_area_course_0006,Seguridad,SEG
op_area_course_0007,Técnica,TEC
op_area_course_0008,Veterinaria,VET
op_area_course_0009,Psicología Clínica,PSC
op_area_course_0010,Psicopedagogía,PSP
op_area_course_0011,Genéricos,GEN
op_area_course_0012,Logopedia,LOG
op_area_course_0013,Formación Profesional,XXX
op_area_course_0014,Sociosanitaria,SCS
op_area_course_0015,Pruebas de acceso,ACC
op_area_course_0016,Programa Corta Duración,PCD
op_area_course_0017,All,000
op_area_course_0018,Salud y Bienestar,SAM
op_area_course_0019,Administración,ADM
op_area_course_0020,Neurociencias,NCS
op_area_course_0021,Educación,ED
op_area_course_0022,Psicologia - BR,PC-BR
op_area_course_0023,Educação,ED-BR
op_area_course_0024,Neurociência,NCS-BR
op_area_course_0025,Administração,ADM-BR
op_area_course_0026,Neuropsicología - BR,NP-BR
op_area_course_0027,Certificação,CRT-BR
op_area_course_0028,Geral,GRL-BR
op_area_course_0029,Ciências Humanas,CH
op_area_course_0030,CERTIPROF,CF
op_area_course_0031,sicuales,
op_area_course_0032,Ciencias Sociales,
op_area_course_0033,Ingeniería,
op_area_course_0034,Fonoaudiólogia,FO
